"month","😍","😁","🍚","🍖","💯","🍞","🍜","🍕","🍔","🇹🇭","👌","👍","☕","🆒","🌮","😋","🍹","❤","🤤","🥗","🍛","🤑","🔥","🍣","🤩","🌶️","🍗","🐟","🍻","🇨🇦","🧀","🗣","🌶","🍺","❌","🍫","🐔","🍷","😴","👫","👨‍💻","🏃‍♂️","🐓","💻","🎄","🛫","🚘","🛬","🥶","🦐","❤️","🥞","🍩","😎","other"
"1501545600000","18","4","4","4","3","3","3","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","71"
"1504224000000","24","0","0","0","0","0","11","0","0","0","26","20","15","12","10","9","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","343"
"1506816000000","69","0","17","0","0","0","12","0","12","0","0","16","14","0","0","0","0","0","36","13","13","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","536"
"1509494400000","97","0","0","0","0","0","32","46","0","0","28","74","64","0","0","40","0","0","43","0","0","0","35","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1781"
"1512086400000","71","0","36","0","0","0","0","0","0","0","35","75","42","0","0","51","0","0","32","0","0","0","31","0","27","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1586"
"1514764800000","25","0","0","0","0","0","0","0","0","0","17","19","18","0","0","42","0","0","17","11","0","0","0","0","13","16","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","823"
"1517443200000","69","0","0","0","0","0","23","0","23","0","27","47","26","0","0","50","20","0","0","0","0","0","0","20","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1723"
"1519862400000","84","0","0","0","0","0","0","0","40","0","28","72","65","0","0","76","0","0","0","29","0","0","45","0","0","0","0","30","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2462"
"1522540800000","53","0","0","0","0","0","0","0","0","0","0","54","52","0","0","50","0","0","27","29","0","0","0","0","0","0","0","0","0","36","26","26","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1966"
"1525132800000","53","0","0","0","0","0","0","0","25","0","0","73","40","0","0","91","0","0","0","27","0","22","0","0","0","0","26","0","0","0","0","0","24","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2152"
"1527811200000","20","0","0","0","0","0","0","0","0","0","0","40","21","0","0","42","0","0","11","12","0","0","0","0","0","0","0","0","0","0","0","14","24","0","18","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1174"
"1530403200000","40","0","0","0","0","0","0","0","0","0","26","33","30","0","0","31","0","0","0","20","0","0","0","0","0","19","0","0","17","0","0","0","0","19","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1426"
"1533081600000","24","0","0","0","0","0","0","16","0","0","0","28","32","0","0","38","0","0","13","12","0","0","0","15","0","17","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1093"
"1535760000000","33","0","0","0","0","0","0","0","0","0","0","16","22","0","0","30","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","13","14","0","15","13","13","0","0","0","0","0","0","0","0","0","0","0","0","0","1006"
"1538352000000","31","0","0","0","0","0","0","0","0","0","0","28","15","0","0","34","0","0","12","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","14","19","0","25","16","0","0","0","0","0","0","0","0","0","0","0","965"
"1541030400000","17","9","0","0","0","0","10","0","0","0","0","11","21","0","0","30","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","10","0","0","13","0","0","0","9","0","0","0","0","0","0","0","0","0","0","787"
"1543622400000","0","0","0","0","0","0","0","0","0","0","0","23","30","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","0","0","0","0","14","0","0","16","0","0","21","19","18","16","0","0","0","0","0","0","908"
"1546300800000","9","0","0","0","0","0","0","0","0","0","0","7","11","0","0","19","0","0","0","0","0","0","0","10","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","8","16","6","0","0","0","0","489"
"1548979200000","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","9","0","0","4","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","5","0","6","5","5","4","226"
