"body","entityname","userid","createdAt"
"#️⃣1️⃣😁","LinkedIn","10210616148458401","2018-08-10 23:59:21.143+00"
"2️⃣1️⃣⬇️🕙🔚","STAR Karaoke","904147553087729","2018-11-23 08:33:13.188+00"
"2️⃣4️⃣1️⃣🤯😭","Thomas M. Siebel Center for Computer Science","904147553087729","2018-02-12 21:20:24.83+00"
"2️⃣4️⃣⌛🤴❤️","Hôtel Ritz Paris","Ybwj1wTN0rVKBHTbr4YbiK0JMyc2","2018-10-23 14:03:11.032+00"
"2️⃣❎🤯🤯🤯","AMC Champaign 13","1111655028939865","2018-04-27 23:02:13.772+00"
"3️⃣7️⃣4️⃣😶😓","Gregory Hall","10215323205660534","2018-12-16 19:16:07.576+00"
"3️⃣⚫1️⃣➖🥃","Three Dots and a Dash","10212886863311893","2018-02-18 02:49:28.675+00"
"3️⃣✖️🛍👡👩‍👧","Nordstrom Valley Fair","106173579224565293482","2018-03-22 03:10:39.422+00"
"3️⃣📅🔜🆓🙏","1904 S 1st St","904147553087729","2018-08-01 16:51:40.724+00"
"3️⃣🥛🍵🛴🎒","Grainger Engineering Library Information Center","392930684494545","2018-04-07 23:21:00.865+00"
"4️⃣0️⃣🔣📴","Banana Republic","878293195646842","2018-01-13 19:28:52.761+00"
"5️⃣4️⃣🐝👨‍💻","Grainger Engineering Library Information Center","10101518996685315","2018-05-04 14:11:55.726+00"
"6️⃣6️⃣📚👨‍🏫👨‍🎓","Main Library","1384478265030952","2018-01-25 19:47:39.038+00"
"8️⃣🐷🐔🤫😳","Panda Express","157924978075040","2018-01-23 02:49:43.542+00"
"8️⃣💚🏞️✝️👌","Huxley Apartments","Ybwj1wTN0rVKBHTbr4YbiK0JMyc2","2019-02-03 23:53:57.363+00"
"‼️‼️🌊🎹👂","The Wave Organ","878293195646842","2018-04-01 22:45:59.25+00"
"‼️☕🌞🍩🤗","Do-Rite Donuts & Coffee","361816177630471","2018-03-02 03:58:05.504+00"
"⁉️🙄🤔😲😤","Plymouth Rock","106173579224565293482","2018-08-29 14:38:41.439+00"
"↗️⬆️⬇️↘️🤩","Eiffel Tower","106173579224565293482","2018-10-20 09:57:18.032+00"
"⌚⌚⌚⌚🤔","a Mano","105856798281199967470","2018-09-29 01:13:57.593+00"
"⌚☕👍","Analog Coffee","10214788409806965","2018-09-15 21:02:14.69+00"
"⌛⌛⌛😡😡","Burger King","109764266408949300899","2018-04-07 22:01:28.954+00"
"⌛⌛👨‍⚕️🙇‍♂️","Carle Orthopedics and Sports Medicine","110478412661569610356","2018-07-11 15:53:39.304+00"
"⌛🍔🍟😞","Murphy's Pub","587742211567743","2018-03-10 18:29:52.83+00"
"⌛📑👩‍💻🤯","Grainger Engineering Library Information Center","904147553087729","2018-02-08 23:09:06.056+00"
"⌛📝😬","Grainger Engineering Library Information Center","4fSiQkmyzzSrHMcu6b221awqU6j1","2018-10-18 11:38:55.476+00"
"⌛😡🥤😋","Quickly","2041070856167987","2018-03-12 16:57:38.966+00"
"⌛😴😡","The Barley Hound","10160009362260456","2018-04-22 15:45:19.108+00"
"⌛🥃😤💸","Radio Maria","2091917037486877","2018-04-17 00:49:49.341+00"
"⌨️💻🤓","Thomas M. Siebel Center for Computer Science","10156087054263545","2018-02-07 00:36:45.173+00"
"⌨️😫💅➡️👩🏽‍💻","ZAZA Nail and Wine Lounge","10155200088205955","2018-08-06 23:20:27.367+00"
"⏰🔜💺🛫❄️","Miami International Airport","10212391291791338","2018-12-28 04:42:18.385+00"
"⏱️🛍️🤫","Westfield Valley Fair","105856798281199967470","2018-12-22 23:03:08.244+00"
"⏱😠😑😾✋","Teamoji","10215323205660534","2018-10-13 03:32:07.694+00"
"⏲️❌😢","Lokma","105856798281199967470","2018-11-11 02:20:18.682+00"
"⏲🍞🥚🧀","Merry Ann's Diner (on Campus)","1650050305046950","2017-11-01 07:15:24.224+00"
"⏳⌛👨‍💻😡📝","UIUC Engineering Hall","10212886863311893","2018-03-02 22:00:45.455+00"
"⏳⌛🤨👎","Restaurant Navía","10203814544039457","2018-03-20 18:54:28.377+00"
"⏳⏳⏳⏳","South Station","htinzXo0U8gSKo8oHgG1WEkqWXc2","2018-11-26 23:49:44.278+00"
"⏳⏳⏳😠","Café Restaurant du Parc des Bastions","105856798281199967470","2018-08-15 16:48:42.793+00"
"⏳🏃‍♀️🍝😋","Il Corvo","1659104244102907","2018-05-12 03:42:30.956+00"
"⏳👎💼🏃‍♀️","United Airlines","1659104244102907","2018-05-07 22:50:21.162+00"
"⏳👦👨👴💀","Westfield Valley Fair","105856798281199967470","2018-12-23 00:53:26.806+00"
"⏳👩‍👩‍👧👩‍👩‍👧🤬🌧","Quincy/Wells","10210457306100125","2018-06-03 05:07:37.913+00"
"⏳💉⚠️🎨","Scottish National Gallery of Modern Art (Modern Two)","1704925656238635","2017-12-23 17:04:11.714+00"
"⏳😞🆓🥐👍","Dubai International Airport","1425689854196183","2018-05-15 18:18:07.95+00"
"⏳😪🥪🍪😍","Three Tarts Bakery and Cafe","10214891722144694","2018-02-26 17:11:24.789+00"
"⏳😴💤🛌☠","Merry Ann's Diner (on Campus)","100162404055730","2017-11-01 06:36:59.665+00"
"⏳😴🛫","O'Hare International Airport","10155200088205955","2017-11-14 16:38:46.641+00"
